Time,Wireless Signal Status,AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4,||,Blink,Wink Left,Wink Right,Surprise,Frown,Smile,Clench,
8.41244,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.208248,0,0,
8.53755,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.156372,0,0,
8.66276,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0868892,0,0,
8.78786,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.251132,0,0,
8.91288,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.339019,0,0,
8.97543,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.339019,0,0,
9.03788,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.396553,0,0,
9.16299,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.28114,0,0,
9.2882,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0574673,0,0,
9.41331,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.105274,0,0,
9.53852,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0867182,0,0,
9.66373,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0931739,0,0,
9.78884,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.106578,0,0,
9.91385,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0770645,0,0,
10.039,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.040351,0,0,
10.164,2,0, 4, 4, 0, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, ||,0,0,0,0,0.087629,0,0,
